countrycode	COMMENT	GEC	INTERNET	ISO	ISO2	ISOn	STANAG	countrycode2	countryname	i_long	incomelevel	name	numeric	r_long	r_long_d	region
ABW														Central America		cam
ADO																
AFG														South Asia		sas
AGO														Africa		afr
AIA														Central America		cam
ALA																
ALB														Europe		eur
AND														Europe		eur
ARE														Middle East		mde
ARG														South America		soa
ARM														Middle East		mde
ASC																
ASM														Oceania		aus
ATA														Antarctica		ant
ATF														Antarctica		ant
ATG														Central America		cam
AUS														Oceania		aus
AUT														Europe		eur
AZE														Middle East		mde
BDI														Africa		afr
BEL														Europe		eur
BEN														Africa		afr
BES																
BFA														Africa		afr
BGD														South Asia		sas
BGR														Europe		eur
BHR														Middle East		mde
BHS														Central America		cam
BIH														Europe		eur
BLM														Central America		cam
BLR														Europe		eur
BLZ														Central America		cam
BMU														North America		noa
BOL														South America		soa
BRA														South America		soa
BRB														Central America		cam
BRN														East Asia		eas
BTN														South Asia		sas
BVT														Antarctica		ant
BWA														Africa		afr
CAF														Africa		afr
CAN														North America		noa
CCK														Oceania		aus
CHE														Europe		eur
CHI																
CHL														South America		soa
CHN														East Asia		eas
CIV														Africa		afr
CMR														Africa		afr
COD														Africa		afr
COG														Africa		afr
COK														Oceania		aus
COL														South America		soa
COM														Africa		afr
CPT																
CPV														Africa		afr
CRI														Central America		cam
CUB														Central America		cam
CUW																
CXR														Oceania		aus
CYM														Central America		cam
CYP														Europe		eur
CZE														Europe		eur
DEU														Europe		eur
DGA																
DJI														Africa		afr
DMA														Central America		cam
DNK														Europe		eur
DOM														Central America		cam
DZA														Africa		afr
ECU														South America		soa
EGY														Africa		afr
ERI														Africa		afr
ESH														Africa		afr
ESP														Europe		eur
EST														Europe		eur
ETH														Africa		afr
FIN														Europe		eur
FJI														Oceania		aus
FLK														South America		soa
FRA														Europe		eur
FRO														Europe		eur
FSM														Oceania		aus
GAB														Africa		afr
GBR														Europe		eur
GEO														Middle East		mde
GGY														Europe		eur
GHA														Africa		afr
GIB														Europe		eur
GIN														Africa		afr
GLP																
GMB														Africa		afr
GNB														Africa		afr
GNQ														Africa		afr
GRC														Europe		eur
GRD														Central America		cam
GRL														North America		noa
GTM														Central America		cam
GUF														South America		soa
GUM														Oceania		aus
GUY														South America		soa
HKG														East Asia		eas
HMD														Antarctica		ant
HND														Central America		cam
HRV														Europe		eur
HTI														Central America		cam
HUN														Europe		eur
IDN														East Asia		eas
IMN														Europe		eur
IMY																
IND														South Asia		sas
IOT														South Asia		sas
IRL														Europe		eur
IRN														Middle East		mde
IRQ														Middle East		mde
ISL														Europe		eur
ISR														Middle East		mde
ITA														Europe		eur
JAM														Central America		cam
JEY														Europe		eur
JOR														Middle East		mde
JPN														East Asia		eas
KAZ														Central Asia		cas
KEN														Africa		afr
KGZ														Central Asia		cas
KHM														East Asia		eas
KIR														Oceania		aus
KNA														Central America		cam
KOR														East Asia		eas
KSV																
KWT														Middle East		mde
LAO														East Asia		eas
LBN														Middle East		mde
LBR														Africa		afr
LBY														Africa		afr
LCA														Central America		cam
LIE														Europe		eur
LKA														South Asia		sas
LSO														Africa		afr
LTU														Europe		eur
LUX														Europe		eur
LVA														Europe		eur
MAC														East Asia		eas
MAF														Central America		cam
MAR														Africa		afr
MCO														Europe		eur
MDA														Europe		eur
MDG														Africa		afr
MDV														South Asia		sas
MEX														North America		noa
MHL														Oceania		aus
MKD														Europe		eur
MLI														Africa		afr
MLT														Europe		eur
MMR														East Asia		eas
MNE														Europe		eur
MNG														East Asia		eas
MNP														Oceania		aus
MOZ														Africa		afr
MRT														Africa		afr
MSR														Central America		cam
MTQ																
MUS														Africa		afr
MWI														Africa		afr
MYS														East Asia		eas
MYT														Africa		afr
NAM														Africa		afr
NCL														Oceania		aus
NER														Africa		afr
NFK														Oceania		aus
NGA														Africa		afr
NIC														Central America		cam
NIU														Oceania		aus
NLD														Europe		eur
NOR														Europe		eur
NPL														South Asia		sas
NRU														Oceania		aus
NZL														Oceania		aus
OMN														Middle East		mde
PAK														South Asia		sas
PAN														Central America		cam
PCN														Oceania		aus
PER														South America		soa
PHL														East Asia		eas
PLW														Oceania		aus
PNG														East Asia		eas
POL														Europe		eur
PRI														Central America		cam
PRK														East Asia		eas
PRT														Europe		eur
PRY														South America		soa
PSE														Middle East		mde
PYF														Oceania		aus
QAT														Middle East		mde
REU																
ROM																
ROU														Europe		eur
RUS														Central Asia		cas
RWA														Africa		afr
SAU														Middle East		mde
SDN														Africa		afr
SEN														Africa		afr
SGP														East Asia		eas
SGS														South America		soa
SHN														Africa		afr
SJM														Europe		eur
SLB														Oceania		aus
SLE														Africa		afr
SLV														Central America		cam
SMR														Europe		eur
SOM														Africa		afr
SPM														North America		noa
SRB														Europe		eur
SSD														Africa		afr
STP														Africa		afr
SUR														South America		soa
SVK														Europe		eur
SVN														Europe		eur
SWE														Europe		eur
SWZ														Africa		afr
SXM																
SYC														Africa		afr
SYR														Middle East		mde
TAA																
TCA														Central America		cam
TCD														Africa		afr
TGO														Africa		afr
THA														East Asia		eas
TJK														Central Asia		cas
TKL														Oceania		aus
TKM														Central Asia		cas
TLS														East Asia		eas
TMP																
TON														Oceania		aus
TTO														Central America		cam
TUN														Africa		afr
TUR														Middle East		mde
TUV														Oceania		aus
TWN														East Asia		eas
TZA														Africa		afr
UGA														Africa		afr
UKR														Europe		eur
UMI																
URY														South America		soa
USA														North America		noa
UZB														Central Asia		cas
VAT														Europe		eur
VCT														Central America		cam
VEN														South America		soa
VGB														Central America		cam
VIR														Central America		cam
VNM														East Asia		eas
VUT														Oceania		aus
WBG																
WLF														Oceania		aus
WSM														Oceania		aus
XKK																
YEM														Middle East		mde
ZAF														Africa		afr
ZAR																
ZMB														Africa		afr
ZWE														Africa		afr
ZZZ																
_EA																
_IC																
0																
1																
2																
3																
4																
5																
6																
7																
8																
9																
10																
11																
12																
13																
14																
15																
16																
17																
18																
19																
20																
21																
22																
23																
24																
25																
26																
27																
28																
29																
30																
31																
32																
33																
34																
35																
36																
37																
38																
39																
40																
41																
42																
43																
44																
45																
46																
47																
48																
49																
50																
51																
52																
53																
54																
55																
56																
57																
58																
59																
60																
61																
62																
63																
64																
65																
66																
67																
68																
69																
70																
71																
72																
73																
74																
75																
76																
77																
78																
79																
80																
81																
82																
83																
84																
85																
86																
87																
88																
89																
90																
91																
92																
93																
94																
95																
96																
97																
98																
99																
100																
101																
102																
103																
104																
105																
106																
107																
108																
109																
110																
111																
112																
113																
114																
115																
116																
117																
118																
119																
120																
121																
122																
123																
124																
125																
126																
127																
128																
129																
130																
131																
132																
133																
134																
135																
136																
137																
138																
139																
140																
141																
142																
143																
144																
145																
146																
147																
148																
149																
150																
151																
152																
153																
154																
155																
156																
157																
158																
159																
160																
161																
162																
163																
164																
165																
166																
167																
168																
169																
170																
171																
172																
173																
174																
175																
176																
177																
178																
179																
180																
181																
182																
183																
184																
185																
186																
187																
188																
189																
190																
191																
192																
193																
194																
195																
196																
197																
198																
199																
200																
201																
202																
203																
204																
205																
206																
207																
208																
209																
210																
211																
212																
213																
214																
215																
216																
217																
218																
219																
220																
221																
222																
223																
224																
225																
226																
227																
228																
229																
230																
231																
232																
233																
234																
235																
236																
237																
238																
239																
240																
241																
242																
243																
244																
245																
246																
247																
248																
249																
250																
251																
252																
253																
254																
255																
256																
257																
258																
259																
260																
261																
262																
263																
264																
265																
266																
267																
268																
269																
270																
271																
272																
273																
274																
275																
276																
277																
278																
XKS														Europe		eur
